,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,28,1.02,23,4,0,0,0,1,5,0.18,5,0,0,0,0,0,Matches
1,2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,29,3.39,19,4,1,2,2,1,7,0.82,6,0,0,0,1,0,Matches
2,3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,4,0.12,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,5,João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,7,0.56,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
5,6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,7,0.65,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
6,7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,29.0,80,2.76,47,20,4,4,3,2,13,0.45,7,3,1,1,1,0,Matches
7,8,Mohamed Aidara,ci CIV,DF,FC Vizela,24,1996,15.0,6,0.40,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
8,9,Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,18,0.93,11,5,1,1,0,0,1,0.05,1,0,0,0,0,0,Matches
9,10,Alex,br BRA,DF,Famalicão,22,1999,16.4,19,1.16,12,0,1,0,4,2,0,0.00,0,0,0,0,0,0,Matches
10,11,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,28.5,84,2.95,75,1,2,1,1,4,11,0.39,11,0,0,0,0,0,Matches
11,12,Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,42,2.10,29,0,4,3,6,0,6,0.30,1,0,0,2,3,0,Matches
12,13,Allano,br BRA,"FW,MF",Santa Clara,26,1995,12.1,33,2.72,22,2,3,0,6,0,5,0.41,3,0,0,0,2,0,Matches
13,14,André Almeida,pt POR,DF,Benfica,30,1990,8.9,26,2.90,23,3,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
14,15,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,20.2,56,2.77,44,0,4,4,4,0,5,0.25,3,0,0,2,0,0,Matches
15,16,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,17,Omri Altman,il ISR,MF,Arouca,27,1994,1.5,3,1.97,0,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
17,18,Alejandro Alvarado Jr.,us USA,"MF,FW",FC Vizela,18,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,19,Luís Alves,pt POR,DF,Paços,19,2001,3.4,7,2.05,4,2,1,0,0,0,1,0.29,1,0,0,0,0,0,Matches
19,20,Marcelo Alves,br BRA,DF,Tondela,23,1998,8.1,2,0.25,1,0,0,1,0,0,1,0.12,0,0,0,1,0,0,Matches
20,21,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,9.2,7,0.76,4,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
21,22,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,13.3,34,2.55,24,6,2,0,0,2,3,0.23,1,2,0,0,0,0,Matches
22,23,Amarildo,br BRA,DF,Famalicão,22,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,24,André Amaro,co COL,DF,Vitória,18,2002,6.3,3,0.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,5,0.23,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
25,26,Anderson,br BRA,"FW,MF",Portimonense,23,1998,11.4,30,2.62,18,1,2,3,4,2,1,0.09,1,0,0,0,0,0,Matches
26,27,Rodrigo Andrad,pt POR,MF,Marítimo,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,28,Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,6,0.42,5,1,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
28,29,André André,pt POR,MF,Vitória,31,1989,10.4,29,2.80,25,1,0,2,0,1,2,0.19,2,0,0,0,0,0,Matches
29,30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,32,Iván Angulo,co COL,"FW,MF",Portimonense,22,1999,26.2,66,2.53,46,0,11,4,3,2,4,0.15,1,0,1,0,2,0,Matches
32,33,Antony,br BRA,"FW,MF",Arouca,19,2001,7.4,11,1.39,3,0,2,1,4,1,1,0.13,0,0,0,0,1,0,Matches
33,34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,81,2.87,36,35,1,5,3,1,7,0.25,5,2,0,0,0,0,Matches
34,35,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,7.1,16,2.23,13,1,2,0,0,0,3,0.42,3,0,0,0,0,0,Matches
35,36,Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,18,2.17,12,0,3,2,1,0,2,0.24,2,0,0,0,0,0,Matches
36,37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,38,Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,9,6.14,5,0,1,3,0,0,0,0.00,0,0,0,0,0,0,Matches
38,39,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,40,Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,12,2.27,7,5,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
40,41,Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,1,0.94,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
41,42,Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,4,2.95,3,0,0,1,0,0,1,0.74,1,0,0,0,0,0,Matches
42,43,Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,80,3.28,54,17,3,2,4,0,6,0.25,5,0,0,0,1,0,Matches
43,44,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,15,2.23,11,2,1,0,0,1,2,0.30,2,0,0,0,0,0,Matches
44,45,Fernando Augusto,br BRA,GK,Arouca,24,1997,6.9,3,0.44,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,46,Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,4,2.35,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
46,47,Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,2,0.67,2,0,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
47,48,Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,10,0.67,7,0,0,0,0,3,0,0.00,0,0,0,0,0,0,Matches
48,49,Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,1,1.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
49,50,Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,13,0.54,11,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
50,51,Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,3,0.91,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,52,Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,53,Simon Banza,fr FRA,FW,Famalicão,24,1996,25.9,51,1.97,27,2,4,8,7,3,8,0.31,3,0,0,4,1,0,Matches
