,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
192,193,Javi Galán,es ESP,DF,Celta Vigo,26,1994,36.6,2607,70,717,1181,747,40,2607,85,125,68.0,70,37,1584,84,Matches
193,194,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,27,1993,15.3,922,35,181,585,163,5,922,26,35,74.3,20,15,555,13,Matches
194,195,Thiago Galhardo,br BRA,"FW,MF",Celta Vigo,32,1989,12.8,404,13,40,175,191,49,404,8,20,40.0,28,11,283,60,Matches
195,196,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,28,1992,33.3,1383,39,246,419,733,154,1383,22,50,44.0,70,13,883,208,Matches
196,197,Dani García,es ESP,MF,Athletic Club,31,1990,24.2,1206,57,259,750,206,12,1206,4,6,66.7,7,9,748,7,Matches
197,198,David García,es ESP,DF,Osasuna,27,1994,34.5,1816,236,819,916,87,56,1816,3,4,75.0,12,3,975,2,Matches
198,199,Eric García,es ESP,DF,Barcelona,20,2001,22.7,1860,133,681,1134,52,10,1860,2,3,66.7,12,1,1444,3,Matches
199,200,Francisco Garcia,es ESP,DF,Rayo Vallecano,21,1999,33.6,2010,95,620,877,546,29,2010,22,45,48.9,54,15,1056,62,Matches
200,201,Joan García,es ESP,GK,Espanyol,20,2001,1.2,36,26,33,3,0,0,36,0,0,,0,0,13,0,Matches
201,202,Manu García,es ESP,MF,Alavés,23,1998,12.0,689,9,91,411,200,9,689,32,45,71.1,31,22,458,26,Matches
202,203,Raúl García,es ESP,FW,Athletic Club,35,1986,20.0,792,27,82,369,345,67,791,9,12,75.0,29,15,572,99,Matches
203,204,Rubén García,es ESP,"MF,FW",Osasuna,28,1993,26.4,1540,21,187,628,740,61,1538,24,47,51.1,56,18,995,119,Matches
204,205,Saúl García,es ESP,MF,Alavés,26,1994,0.0,5,1,4,0,1,0,5,0,0,,0,0,1,0,Matches
205,206,Unai García,es ESP,DF,Osasuna,29,1992,15.6,724,101,347,343,41,12,724,3,4,75.0,10,2,353,1,Matches
206,207,Mario Gaspar,es ESP,DF,Villarreal,30,1990,6.9,421,26,136,194,95,14,421,3,4,75.0,5,2,252,15,Matches
207,208,Gavi,es ESP,"MF,FW",Barcelona,16,2004,25.7,1567,14,145,820,620,82,1567,53,86,61.6,61,49,1231,113,Matches
208,209,Óscar Gil,es ESP,DF,Espanyol,23,1998,18.8,953,55,339,364,259,14,953,13,27,48.1,38,12,511,41,Matches
209,210,Mario Gila,es ESP,DF,Real Madrid,20,2000,0.3,24,4,18,6,0,0,24,1,1,100.0,0,0,14,0,Matches
210,211,Dani Gómez,es ESP,FW,Levante,23,1998,11.8,357,6,22,156,187,53,357,18,46,39.1,47,24,265,80,Matches
211,212,Maxi Gómez,uy URU,FW,Valencia,24,1996,21.7,595,23,39,259,303,75,595,5,18,27.8,58,19,482,81,Matches
212,213,Moi Gómez,es ESP,"MF,FW",Villarreal,27,1994,14.3,695,10,113,305,287,25,695,13,22,59.1,12,18,503,64,Matches
213,214,Papu Gómez,ar ARG,"FW,MF",Sevilla,33,1988,19.8,1157,22,176,558,435,41,1157,28,54,51.9,34,28,920,64,Matches
214,215,Sergi Gómez,es ESP,DF,Espanyol,29,1992,30.2,1634,265,996,612,31,14,1634,1,1,100.0,5,3,1080,1,Matches
215,216,Maxime Gonalons,fr FRA,MF,Granada,32,1989,17.2,830,56,241,520,82,7,830,14,21,66.7,14,17,470,4,Matches
216,217,Diego González,es ESP,DF,Elche,26,1995,19.9,899,147,560,325,18,9,899,1,1,100.0,5,0,511,1,Matches
217,218,Édgar González,es ESP,DF,Betis,24,1997,16.3,1072,128,563,495,20,6,1072,4,4,100.0,5,1,736,2,Matches
218,219,Giovanni González,uy URU,DF,Mallorca,26,1994,4.1,245,21,67,109,74,9,245,3,4,75.0,2,3,123,11,Matches
219,220,Nicolás González,es ESP,MF,Barcelona,19,2002,12.4,831,17,111,470,262,27,831,34,43,79.1,37,19,617,37,Matches
220,221,Peter González,do DOM,"MF,DF",Real Madrid,19,2002,0.3,25,1,5,8,12,2,25,1,1,100.0,1,1,18,1,Matches
221,222,Roberto González,es ESP,"FW,MF",Betis,20,2001,1.5,58,1,7,27,24,2,58,2,5,40.0,3,1,38,5,Matches
222,223,Gori,es ESP,MF,Espanyol,19,2002,0.1,8,0,1,4,3,0,8,0,0,,0,0,5,0,Matches
223,224,Andoni Gorosabel,es ESP,DF,Real Sociedad,24,1996,25.4,1652,62,423,800,449,31,1652,18,34,52.9,27,14,978,59,Matches
224,225,Jaume Grau,es ESP,MF,Osasuna,24,1997,0.0,4,0,1,3,0,0,4,0,0,,0,0,3,0,Matches
225,226,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1.0,33,32,33,0,0,0,33,0,0,,0,0,11,0,Matches
226,227,Clément Grenier,fr FRA,MF,Mallorca,30,1991,0.7,48,1,12,23,14,4,48,0,1,0.0,0,1,31,3,Matches
227,228,Antoine Griezmann,fr FRA,FW,Barcelona,30,1991,2.9,139,5,23,77,40,7,139,3,7,42.9,5,9,104,12,Matches
228,229,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,30,1991,18.8,884,17,103,419,373,69,884,19,29,65.5,33,24,653,114,Matches
229,230,Arnaut Groeneveld,nl NED,FW,Villarreal,24,1997,16.4,547,7,35,130,387,124,544,33,61,54.1,33,18,438,137,Matches
230,231,Andrés Guardado,mx MEX,MF,Betis,34,1986,15.5,1102,48,278,708,130,13,1102,6,10,60.0,15,4,742,14,Matches
231,232,Sergi Guardiola,es ESP,FW,Rayo Vallecano,30,1991,19.0,610,19,51,245,320,83,609,13,20,65.0,58,32,458,100,Matches
232,233,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,29,1991,11.6,790,88,394,370,30,3,790,0,0,,7,2,525,5,Matches
233,234,Gonçalo Guedes,pt POR,"FW,MF",Valencia,24,1996,29.0,1187,5,81,428,706,88,1186,64,124,51.6,99,46,909,169,Matches
234,235,Ander Guevara,es ESP,MF,Real Sociedad,24,1997,9.6,691,28,176,438,86,9,691,3,4,75.0,10,4,472,12,Matches
235,236,John Guidetti,se SWE,"FW,MF",Alavés,29,1992,3.1,102,0,4,39,61,16,102,4,6,66.7,6,2,74,19,Matches
236,237,Hugo Guillamón,es ESP,"MF,DF",Valencia,21,2000,26.2,1328,83,398,765,176,10,1328,10,16,62.5,27,21,735,14,Matches
237,238,Gerard Gumbau,es ESP,MF,Elche,26,1994,21.0,1253,40,293,711,263,7,1253,7,13,53.8,23,6,787,13,Matches
238,239,Jon Guridi,es ESP,MF,Real Sociedad,26,1995,2.3,111,6,14,68,29,6,111,5,9,55.6,5,0,72,3,Matches
239,240,Raúl Guti,es ESP,MF,Elche,24,1996,18.1,931,18,186,579,176,14,931,11,21,52.4,20,15,667,21,Matches
240,241,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,30,1991,1.5,40,10,20,19,1,1,40,0,0,,0,0,9,0,Matches
241,242,Miguel Gutiérrez,es ESP,DF,Real Madrid,20,2001,2.9,204,9,69,85,53,3,204,6,9,66.7,1,2,143,4,Matches
242,243,Munir El Haddadi,ma MAR,"FW,MF",Sevilla,25,1995,5.3,201,3,28,90,85,15,201,2,8,25.0,17,9,134,18,Matches
243,244,Varazdat Haroyan,am ARM,DF,Cádiz,28,1992,16.0,592,95,352,224,20,7,592,3,4,75.0,6,1,257,3,Matches
244,245,Eden Hazard,be BEL,"FW,MF",Real Madrid,30,1991,8.0,470,1,42,148,289,64,470,25,31,80.6,21,11,416,80,Matches
245,246,Kike Hermoso,es ESP,DF,Betis,21,1999,1.0,73,7,52,19,2,2,73,1,1,100.0,1,0,47,0,Matches
246,247,Mario Hermoso,es ESP,DF,Atlético Madrid,26,1995,20.7,1473,83,540,755,187,27,1473,8,11,72.7,10,5,954,10,Matches
247,248,Aridane Hernández,gq EQG,DF,Osasuna,32,1989,12.9,670,87,352,307,13,4,670,2,3,66.7,4,2,363,0,Matches
248,249,Luis Hernández,es ESP,DF,Cádiz,32,1989,15.2,885,70,371,396,121,15,885,0,0,,3,1,528,2,Matches
249,250,Mario Hernández,es ESP,"DF,FW",Rayo Vallecano,22,1999,4.4,248,6,70,120,61,2,248,2,6,33.3,9,3,129,4,Matches
250,251,Héctor Herrera,mx MEX,MF,Atlético Madrid,31,1990,9.5,769,30,156,498,123,7,769,16,19,84.2,14,3,518,12,Matches
251,252,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36.0,1258,930,1245,13,0,0,1258,3,3,100.0,3,0,416,0,Matches
252,253,Yangel Herrera,ve VEN,MF,Espanyol,23,1998,18.3,1093,51,261,664,178,24,1093,19,30,63.3,27,23,725,33,Matches
253,254,Matthew Hoppe,us USA,"FW,MF",Mallorca,20,2001,1.5,47,0,5,23,19,3,47,0,3,0.0,3,4,38,9,Matches
254,255,Robert Ibáñez,es ESP,"MF,FW",Osasuna,28,1993,1.0,58,0,12,14,32,7,58,2,2,100.0,4,3,39,6,Matches
255,256,Vicente Iborra,es ESP,MF,Villarreal,33,1988,11.5,731,48,209,443,84,10,731,2,4,50.0,6,5,498,8,Matches
256,257,Oussama Idrissi,ma MAR,"MF,FW",Sevilla,25,1996,1.4,64,1,5,17,42,5,64,8,10,80.0,2,3,55,9,Matches
257,258,Oussama Idrissi,ma MAR,MF,Cádiz,25,1996,10.0,480,5,54,181,247,39,480,23,42,54.8,16,16,325,41,Matches
258,259,Iglesias,es ESP,DF,Getafe,23,1998,8.0,437,25,132,208,103,3,437,5,9,55.6,13,7,167,7,Matches
259,260,Borja Iglesias,es ESP,FW,Betis,28,1993,17.5,505,8,27,216,266,83,502,13,32,40.6,46,30,383,98,Matches
260,261,Asier Illarramendi,es ESP,MF,Real Sociedad,31,1990,4.2,339,17,103,200,38,0,339,3,7,42.9,4,6,229,4,Matches
261,262,Nikita Iosifov,ru RUS,MF,Villarreal,20,2001,0.0,4,0,0,0,4,1,4,1,1,100.0,0,0,4,1,Matches
262,263,Alexander Isak,se SWE,FW,Real Sociedad,21,1999,23.8,695,13,44,239,428,128,693,44,88,50.0,56,36,529,139,Matches
263,264,Isco,es ESP,"MF,FW",Real Madrid,29,1992,3.7,312,2,36,162,122,20,312,17,25,68.0,10,7,256,12,Matches
264,265,Nicolas Jackson,sn SEN,"FW,MF",Villarreal,20,2001,1.8,78,1,3,32,47,16,78,4,6,66.7,9,6,64,18,Matches
265,266,Jakub Jankto,cz CZE,"DF,MF",Getafe,25,1996,6.5,296,8,62,146,93,10,296,4,6,66.7,8,4,165,17,Matches
266,267,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,26,1995,18.1,1021,19,98,419,517,53,1019,46,79,58.2,79,45,722,84,Matches
267,268,Jason,es ESP,"MF,FW",Alavés,27,1994,7.5,292,4,52,96,150,10,292,5,18,27.8,13,7,146,20,Matches
268,269,Jason,es ESP,"MF,DF",Valencia,27,1994,0.8,47,1,11,14,22,4,47,3,3,100.0,2,4,29,6,Matches
269,270,Luis Javier Suárez,co COL,FW,Granada,23,1997,31.6,1032,29,85,439,522,107,1031,44,79,55.7,103,42,743,159,Matches
270,271,Álvaro Jiménez,es ESP,"MF,FW",Cádiz,26,1995,2.6,110,1,13,31,68,7,110,8,15,53.3,9,2,69,6,Matches
271,272,Joaquín,es ESP,"FW,MF",Betis,40,1981,5.2,341,11,41,131,175,20,341,17,30,56.7,6,7,226,22,Matches
272,273,Jofre,es ESP,"MF,DF",Espanyol,20,2001,0.2,12,0,0,2,10,2,12,0,1,0.0,1,0,11,7,Matches
273,274,Frenkie de Jong,nl NED,MF,Barcelona,24,1997,27.5,1871,36,260,1135,498,63,1871,51,60,85.0,37,28,1478,108,Matches
274,275,Luuk de Jong,nl NED,FW,Barcelona,30,1990,7.3,280,13,29,138,116,46,280,3,4,75.0,28,15,213,56,Matches
275,276,Joan Jordán,es ESP,MF,Sevilla,27,1994,27.9,2060,53,456,1174,442,24,2060,23,37,62.2,36,21,1516,54,Matches
276,277,Josan,es ESP,"DF,MF",Elche,31,1989,13.5,673,26,180,261,242,30,673,27,46,58.7,21,17,399,43,Matches
277,278,Willian José,br BRA,FW,Betis,29,1991,17.8,686,21,64,363,264,52,683,6,16,37.5,36,36,532,81,Matches
278,279,Joselu,es ESP,FW,Alavés,31,1990,34.7,1473,51,109,731,640,154,1466,18,51,35.3,79,34,1138,122,Matches
279,280,Josema,es ESP,DF,Elche,25,1996,2.0,85,12,39,37,11,0,85,0,0,,4,0,33,0,Matches
280,281,Luka Jović,rs SRB,FW,Real Madrid,23,1997,4.1,119,4,15,52,52,24,119,3,6,50.0,9,6,84,17,Matches
281,282,Miguel Juan Llambrich,es ESP,DF,Espanyol,25,1996,0.8,58,4,26,24,8,0,58,2,3,66.7,2,0,35,3,Matches
282,283,José Juan Macías,mx MEX,"FW,MF",Getafe,21,1999,2.2,71,0,4,32,36,8,71,5,10,50.0,10,2,57,15,Matches
283,284,Juanmi,es ESP,FW,Betis,28,1993,23.7,773,20,117,327,345,84,773,29,44,65.9,73,29,485,90,Matches
284,285,Lago Junior,ci CIV,"FW,MF",Mallorca,30,1990,2.0,72,1,13,17,43,10,72,3,8,37.5,3,6,62,8,Matches
285,286,Vinicius Júnior,br BRA,FW,Real Madrid,21,2000,29.9,1704,7,148,430,1154,228,1704,95,209,45.5,86,59,1463,269,Matches
286,287,Jutglà,es ESP,FW,Barcelona,22,1999,3.3,153,1,11,63,79,13,153,2,5,40.0,5,3,127,23,Matches
287,288,Jens Jønsson,dk DEN,MF,Cádiz,28,1993,14.5,489,52,174,240,79,15,489,8,10,80.0,18,4,201,14,Matches
288,289,Lee Kangin,kr KOR,"MF,FW",Mallorca,20,2001,15.7,764,8,94,358,328,23,764,38,61,62.3,47,32,527,50,Matches
289,290,Kike,es ESP,FW,Osasuna,31,1989,20.7,759,13,52,325,387,105,758,13,35,37.1,84,37,602,131,Matches
290,291,Koba Koindredi,fr FRA,MF,Valencia,19,2001,2.0,76,5,22,37,17,2,76,2,3,66.7,6,3,42,3,Matches
291,292,Koke,es ESP,MF,Atlético Madrid,29,1992,27.9,1987,47,384,1190,421,27,1987,13,18,72.2,25,32,1498,40,Matches
292,293,Luca Koleosho,ca CAN,FW,Espanyol,16,2004,0.0,2,1,1,0,1,0,2,0,0,,0,0,1,0,Matches
293,294,Geoffrey Kondogbia,cf CTA,"MF,DF",Atlético Madrid,28,1993,20.9,1229,53,313,780,149,6,1229,29,33,87.9,29,26,751,5,Matches
294,295,Jules Koundé,fr FRA,DF,Sevilla,22,1998,30.4,2431,322,1162,1062,225,49,2431,24,39,61.5,27,12,1722,18,Matches
295,296,Toni Kroos,de GER,MF,Real Madrid,31,1990,23.4,2387,49,475,1372,557,23,2387,9,17,52.9,8,11,1966,30,Matches
296,297,Takefusa Kubo,jp JPN,"FW,MF",Mallorca,20,2001,17.8,756,8,111,299,361,65,756,40,64,62.5,59,30,506,65,Matches
297,298,Víctor Laguardia,es ESP,DF,Alavés,31,1989,33.8,1543,233,825,696,33,20,1543,0,0,,9,2,751,3,Matches
298,299,Diego Lainez,mx MEX,FW,Betis,21,2000,1.6,75,1,7,30,38,5,75,6,9,66.7,3,8,55,6,Matches
299,300,Érik Lamela,ar ARG,"FW,MF",Sevilla,29,1992,11.3,622,5,68,258,300,50,622,18,34,52.9,29,29,465,70,Matches
300,301,Latasa,es ESP,FW,Real Madrid,20,2001,0.1,7,0,0,3,4,2,7,0,0,,1,0,6,1,Matches
301,302,Toni Lato,es ESP,DF,Valencia,23,1997,6.6,373,15,124,153,100,3,373,8,8,100.0,4,7,164,9,Matches
302,303,Robin Le Normand,fr FRA,DF,Real Sociedad,24,1996,37.0,2478,335,1294,1130,64,38,2478,1,3,33.3,15,3,1634,4,Matches
303,304,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38.0,1282,1068,1269,13,1,1,1282,2,2,100.0,2,0,399,0,Matches
304,305,Wu Lei,cn CHN,"FW,MF",Espanyol,29,1991,5.3,137,3,18,71,51,18,137,1,6,16.7,8,1,80,17,Matches
305,306,Florian Lejeune,fr FRA,DF,Alavés,30,1991,30.0,1491,226,788,662,54,22,1491,3,6,50.0,10,1,729,3,Matches
306,307,Iñigo Lekue,es ESP,DF,Athletic Club,28,1993,21.4,1413,88,451,632,348,11,1413,13,29,44.8,28,10,710,22,Matches
307,308,Thomas Lemar,fr FRA,MF,Atlético Madrid,25,1995,16.0,963,19,112,420,435,44,963,33,56,58.9,18,34,686,59,Matches
308,309,Ruben Lendinez,es ESP,DF,Valencia,18,2003,1.5,68,6,26,36,6,2,68,0,0,,0,0,36,0,Matches
309,310,Clément Lenglet,fr FRA,DF,Barcelona,26,1995,9.2,891,66,286,573,35,5,891,1,2,50.0,5,2,685,0,Matches
310,311,Javier Llabrés,,"FW,MF",Mallorca,,,1.5,81,0,7,34,42,4,81,4,6,66.7,4,1,63,6,Matches
311,312,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,26,1995,27.2,1565,58,404,674,504,53,1565,19,30,63.3,40,22,972,113,Matches
312,313,Giovani Lo Celso,ar ARG,"FW,MF",Villarreal,25,1996,11.0,647,8,79,313,262,38,647,26,40,65.0,25,17,516,68,Matches
313,314,Julen Lobete,es ESP,"FW,MF",Real Sociedad,20,2000,3.2,107,3,13,37,59,15,107,3,9,33.3,15,5,75,26,Matches
314,315,Renan Lodi,br BRA,DF,Atlético Madrid,23,1998,13.1,766,28,223,317,237,35,766,17,31,54.8,22,12,476,59,Matches
315,316,David López,es ESP,"MF,DF",Espanyol,31,1989,8.3,509,42,222,261,29,7,509,2,2,100.0,7,2,304,4,Matches
316,317,Diego López,es ESP,GK,Espanyol,39,1981,35.3,1251,1076,1239,14,0,0,1251,0,0,,0,0,403,0,Matches
317,318,Javi López,es ESP,DF,Alavés,19,2002,5.1,269,19,83,143,43,0,269,2,6,33.3,6,6,151,6,Matches
318,319,Unai López,es ESP,MF,Rayo Vallecano,25,1995,12.9,953,16,133,572,254,16,953,14,27,51.9,18,20,672,29,Matches
319,320,Anthony Lozano,hn HON,"FW,MF",Cádiz,28,1993,18.6,521,12,31,242,258,77,521,36,59,61.0,64,44,361,67,Matches
320,321,Florentino Luís,pt POR,MF,Getafe,21,1999,11.0,566,22,136,368,68,6,566,7,11,63.6,16,10,302,10,Matches
321,322,José Luis Gayà,es ESP,DF,Valencia,26,1995,20.8,1070,50,327,447,312,21,1070,16,29,55.2,13,5,552,44,Matches
322,323,José Luis Morales,es ESP,"FW,MF",Levante,34,1987,30.2,1139,9,116,391,660,136,1134,64,156,41.0,90,55,786,169,Matches
323,324,Luismi,es ESP,"FW,MF",Sevilla,20,2001,0.1,7,0,4,3,1,0,7,1,1,100.0,0,0,4,0,Matches
324,325,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2.0,88,84,88,0,0,0,88,0,0,,0,0,43,0,Matches
325,326,Darwin Machís,ve VEN,"MF,FW",Granada,28,1993,15.3,646,13,112,244,300,43,646,34,60,56.7,56,22,417,59,Matches
326,327,Pablo Maffeo,es ESP,DF,Mallorca,24,1997,32.7,1707,103,526,738,468,45,1707,49,79,62.0,50,55,854,57,Matches
327,328,Nemanja Maksimović,rs SRB,MF,Getafe,26,1995,32.6,1184,59,262,632,300,57,1184,10,16,62.5,25,11,566,29,Matches
328,329,Hugo Mallo,es ESP,DF,Celta Vigo,30,1991,20.3,1444,66,420,643,390,41,1444,8,16,50.0,19,10,826,58,Matches
329,330,Mickael Malsa,mq MTQ,MF,Levante,25,1995,12.7,673,32,186,417,78,11,673,7,8,87.5,19,11,410,8,Matches
330,331,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18.0,541,443,537,5,0,0,541,0,0,,1,0,137,0,Matches
331,332,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,27,1994,14.4,835,44,355,399,86,8,835,5,7,71.4,13,5,434,12,Matches
332,333,Aïssa Mandi,dz ALG,DF,Villarreal,29,1991,15.3,1110,148,576,505,32,11,1110,0,0,,6,1,826,1,Matches
333,334,Maranhão,br BRA,"FW,MF",Valencia,24,1996,10.8,338,14,48,126,172,42,338,14,33,42.4,26,22,219,53,Matches
334,335,Nikola Maraš,rs SRB,DF,Rayo Vallecano,25,1995,11.6,568,78,308,255,12,10,568,1,1,100.0,5,0,320,1,Matches
335,336,Marcelo,br BRA,DF,Real Madrid,33,1988,5.8,504,17,94,200,213,14,504,9,10,90.0,7,1,402,29,Matches
336,337,Iván Marcone,ar ARG,MF,Elche,31,1990,9.0,510,24,170,310,35,2,510,10,12,83.3,5,3,310,1,Matches
337,338,Óscar de Marcos,es ESP,DF,Athletic Club,32,1989,18.7,1275,52,344,587,355,20,1275,4,13,30.8,10,7,688,36,Matches
338,339,José Mari,es ESP,MF,Cádiz,33,1987,4.3,237,7,49,153,35,3,237,1,1,100.0,4,3,142,5,Matches
339,340,José María Giménez,uy URU,DF,Atlético Madrid,26,1995,22.7,1137,172,617,487,39,26,1137,8,12,66.7,9,1,693,2,Matches
340,341,Mariano,do DOM,FW,Real Madrid,27,1993,3.8,95,3,10,40,48,19,95,6,10,60.0,4,4,72,17,Matches
341,342,Mika Màrmol,es ESP,DF,Barcelona,20,2001,0.0,5,0,0,5,0,0,5,0,0,,0,0,3,0,Matches
342,343,Roger Martí,es ESP,FW,Levante,30,1991,23.5,674,8,33,340,310,90,671,14,28,50.0,57,23,490,114,Matches
343,344,Anthony Martial,fr FRA,"FW,MF",Sevilla,25,1995,5.4,215,2,17,93,105,24,215,7,16,43.8,19,13,187,34,Matches
344,345,Martín,es ESP,MF,Cádiz,22,1999,1.3,60,4,11,34,15,0,60,1,1,100.0,1,0,23,0,Matches
345,346,Ander Martin,es ESP,"FW,MF",Real Sociedad,20,2000,1.0,68,2,8,26,34,4,68,1,4,25.0,6,1,48,4,Matches
346,347,Andrés Martín,es ESP,"FW,MF",Rayo Vallecano,22,1999,2.1,53,0,3,20,30,5,53,1,3,33.3,4,5,39,7,Matches
347,348,Carlos Martín,es ESP,DF,Atlético Madrid,19,2002,0.1,3,1,1,1,1,0,3,1,1,100.0,0,0,2,0,Matches
348,349,Iván Martín,es ESP,"MF,FW",Alavés,22,1999,1.8,81,0,9,44,28,1,81,0,2,0.0,3,6,62,2,Matches
349,350,Iñigo Martínez,es ESP,DF,Athletic Club,30,1991,26.0,1499,186,740,696,77,34,1499,2,2,100.0,7,3,795,2,Matches
350,351,Javi Martínez,es ESP,"MF,FW",Osasuna,21,1999,9.8,497,14,89,222,193,26,497,11,16,68.8,24,10,321,24,Matches
351,352,Pablo Martínez,es ESP,MF,Levante,23,1998,7.3,349,9,82,191,86,11,349,7,16,43.8,16,10,211,13,Matches
352,353,Omar Mascarell,es ESP,MF,Elche,28,1993,27.7,1504,96,442,913,153,7,1504,12,16,75.0,20,10,920,7,Matches
353,354,Jaime Mata,es ESP,FW,Getafe,32,1988,7.5,293,6,24,117,154,34,293,4,9,44.4,35,6,231,51,Matches
354,355,Luís Maximiano,pt POR,GK,Granada,22,1999,34.8,1268,1061,1262,10,0,0,1268,2,2,100.0,0,3,374,0,Matches
355,356,Borja Mayoral,es ESP,FW,Getafe,24,1997,11.6,368,7,29,184,161,44,367,14,29,48.3,26,16,254,48,Matches
356,357,Jordi Mboula,es ESP,FW,Mallorca,22,1999,4.8,150,4,21,66,68,10,150,7,15,46.7,11,8,93,15,Matches
357,358,Óscar Melendo,es ESP,"MF,FW",Espanyol,23,1997,11.0,513,7,68,301,154,10,513,15,18,83.3,13,13,408,25,Matches
358,359,Gonzalo Melero,es ESP,MF,Levante,27,1994,18.8,947,46,220,561,178,27,945,12,26,46.2,31,25,698,43,Matches
359,360,Tomás Mendes,es ESP,MF,Alavés,16,2004,0.1,6,1,1,5,0,0,6,0,0,,0,0,3,0,Matches
360,361,Brais Méndez,es ESP,MF,Celta Vigo,24,1997,33.6,1972,47,266,1064,659,77,1972,34,70,48.6,78,49,1396,123,Matches
361,362,Édgar Méndez,es ESP,"FW,MF",Alavés,31,1990,17.9,630,18,110,256,276,41,630,14,26,53.8,49,20,393,79,Matches
362,363,Ferland Mendy,fr FRA,DF,Real Madrid,26,1995,19.3,1513,56,390,632,506,37,1513,35,52,67.3,23,13,1110,46,Matches
363,364,Fran Mérida,es ESP,MF,Espanyol,31,1990,3.0,202,4,48,122,36,2,202,9,11,81.8,2,2,126,3,Matches
364,365,Mikel Merino,es ESP,MF,Real Sociedad,25,1996,32.1,2142,102,432,1231,506,82,2142,28,47,59.6,45,56,1510,83,Matches
365,366,Martín Merquelanz,es ESP,"FW,MF",Rayo Vallecano,26,1995,1.9,90,1,13,35,44,2,90,3,10,30.0,5,3,58,7,Matches
366,367,Matt Miazga,us USA,DF,Alavés,26,1995,9.3,424,84,254,156,18,11,424,0,0,,5,0,204,2,Matches
367,368,Miguel,es ESP,"FW,MF",Alavés,21,1999,9.2,271,4,22,106,145,44,271,13,25,52.0,34,12,194,57,Matches
368,369,Éder Militão,br BRA,DF,Real Madrid,23,1998,33.7,2367,302,1208,1043,135,39,2367,11,20,55.0,16,7,1585,10,Matches
369,370,Luis Milla,es ESP,MF,Granada,26,1994,30.8,1699,65,326,1015,377,21,1696,28,38,73.7,34,23,982,32,Matches
370,371,Pere Milla,es ESP,"MF,FW",Elche,28,1992,18.3,738,36,153,348,245,44,738,16,33,48.5,52,33,500,59,Matches
371,372,Santi Mina,es ESP,FW,Celta Vigo,25,1995,26.3,955,22,97,483,388,94,954,12,21,57.1,62,34,677,130,Matches
372,373,Óscar Mingueza,es ESP,DF,Barcelona,22,1999,9.9,832,35,227,425,184,7,832,6,7,85.7,8,5,597,17,Matches
373,374,Rafa Mir,es ESP,FW,Sevilla,24,1997,20.1,547,17,52,277,222,80,547,12,23,52.2,59,16,382,71,Matches
374,375,Jorge Miramón,es ESP,DF,Levante,32,1989,22.0,1253,96,447,528,293,14,1253,21,31,67.7,31,21,656,44,Matches
375,376,Juan Miranda,es ESP,DF,Betis,21,2000,8.7,604,30,171,290,144,11,604,4,9,44.4,9,1,341,27,Matches
376,377,Stefan Mitrović,rs SRB,DF,Getafe,31,1990,29.6,1123,171,659,448,22,13,1123,2,2,100.0,9,4,553,1,Matches
377,378,Luka Modrić,hr CRO,MF,Real Madrid,35,1985,22.6,1862,16,331,920,625,49,1861,32,48,66.7,30,22,1488,63,Matches
378,379,Johan Mojica,co COL,DF,Elche,28,1992,31.7,2135,110,744,822,588,27,2135,31,72,43.1,50,21,1259,74,Matches
379,380,Jorge Molina,es ESP,FW,Granada,39,1982,21.8,712,19,59,304,352,95,711,7,17,41.2,53,25,563,98,Matches
380,381,Jon Moncayola,es ESP,MF,Osasuna,23,1998,32.4,1669,61,338,948,401,19,1669,13,19,68.4,36,15,1069,63,Matches
381,382,Monchu,es ESP,MF,Granada,21,1999,7.4,418,14,95,244,81,4,418,6,10,60.0,13,8,279,9,Matches
382,383,Gonzalo Montiel,ar ARG,DF,Sevilla,24,1997,11.8,770,27,235,341,199,17,770,3,8,37.5,14,5,503,42,Matches
383,384,Ángel Montoro,es ESP,MF,Granada,33,1988,14.8,796,34,157,486,157,18,796,0,3,0.0,18,13,481,20,Matches
384,385,Martín Montoya,es ESP,DF,Betis,30,1991,5.8,395,21,100,191,104,15,395,0,1,0.0,7,2,229,14,Matches
385,386,Jon Morcillo,es ESP,"MF,FW",Athletic Club,22,1998,0.6,45,0,9,15,21,2,45,0,1,0.0,4,1,25,3,Matches
386,387,Alberto Moreno,es ESP,"MF,DF",Villarreal,29,1992,13.6,757,23,144,314,304,35,757,10,17,58.8,32,13,530,67,Matches
