,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
192,193,Andrea Favilli,it ITA,FW,Genoa,24,1997,0.4,11,2,3,4,4,2,11,0,0,,3,1,8,5,Matches
193,194,Federico Fazio,ar ARG,DF,Salernitana,34,1987,15.9,816,107,346,402,77,27,816,9,11,81.8,12,3,416,5,Matches
194,195,Luiz Felipe,it ITA,DF,Lazio,24,1997,27.7,2082,281,1046,999,45,10,2082,6,6,100.0,9,6,1499,1,Matches
195,196,Alex Ferrari,it ITA,DF,Sampdoria,27,1994,18.3,1025,142,566,432,33,4,1025,4,14,28.6,10,3,580,4,Matches
196,197,Salvador Ferrer,es ESP,"DF,MF",Spezia,23,1998,16.6,915,70,300,425,195,8,915,8,12,66.7,11,10,479,25,Matches
197,198,Riccardo Fiamozzi,it ITA,DF,Empoli,28,1993,6.9,426,22,140,206,86,2,426,3,7,42.9,4,4,236,8,Matches
198,199,Luca Fiordilino,it ITA,MF,Venezia,25,1996,7.3,389,23,128,202,62,10,389,3,5,60.0,10,8,245,8,Matches
199,200,Vincenzo Fiorillo,it ITA,GK,Salernitana,31,1990,1.0,35,33,35,0,0,0,35,0,0,,0,0,15,0,Matches
200,201,Alessandro Florenzi,it ITA,"DF,FW",Milan,30,1991,12.8,913,31,222,489,215,20,913,8,10,80.0,11,1,582,36,Matches
201,202,Fernando Forestieri,it ITA,"FW,MF",Udinese,31,1990,0.6,33,1,4,9,20,4,33,1,1,100.0,2,0,21,4,Matches
202,203,Francesco Forte,it ITA,FW,Venezia,28,1993,4.7,117,2,10,61,49,19,117,1,1,100.0,13,2,79,17,Matches
203,204,Gianluca Frabotta,it ITA,"DF,MF",Hellas Verona,22,1999,0.2,12,1,1,5,6,1,12,0,0,,0,0,6,0,Matches
204,205,Davide Frattesi,it ITA,MF,Sassuolo,21,1999,31.7,1640,104,376,880,415,84,1640,42,64,65.6,59,22,1182,91,Matches
205,206,Morten Frendrup,dk DEN,"DF,MF",Genoa,20,2001,7.7,456,13,119,244,98,5,456,3,5,60.0,15,3,160,7,Matches
206,207,Remo Freuler,ch SUI,MF,Atalanta,29,1992,26.3,2025,55,344,1158,539,37,2025,20,35,57.1,40,24,1420,55,Matches
207,208,Matteo Gabbia,it ITA,DF,Milan,21,1999,6.0,469,49,254,208,9,6,469,0,0,,2,0,343,0,Matches
208,209,Manolo Gabbiadini,it ITA,"FW,MF",Sampdoria,29,1991,12.7,465,14,53,222,191,31,465,4,10,40.0,29,16,339,46,Matches
209,210,Gianluca Gaetano,it ITA,MF,Napoli,21,2000,0.2,16,0,5,8,3,0,16,0,0,,1,0,8,0,Matches
210,211,Luca Gagliano,it ITA,"FW,DF",Cagliari,21,2000,0.1,10,1,2,4,4,1,10,0,1,0.0,0,0,5,1,Matches
211,212,Roberto Gagliardini,it ITA,MF,Inter,27,1994,7.2,422,13,75,218,131,18,422,3,7,42.9,13,7,296,27,Matches
212,213,Riccardo Gagliolo,se SWE,DF,Salernitana,31,1990,12.6,650,83,316,281,62,11,650,4,6,66.7,6,3,317,5,Matches
213,214,Nicolas Galazzi,it ITA,MF,Venezia,20,2000,0.2,12,1,1,1,10,1,12,0,0,,2,1,6,1,Matches
214,215,Pablo Galdames Millán,cl CHI,MF,Genoa,24,1996,11.4,565,19,99,331,142,13,565,7,15,46.7,10,17,323,19,Matches
215,216,Luca Gemello,it ITA,GK,Torino,21,2000,1.0,37,27,37,0,0,0,37,0,0,,0,0,20,0,Matches
216,217,Paolo Ghiglione,it ITA,DF,Genoa,24,1997,6.7,434,29,122,200,117,6,434,9,16,56.3,18,3,216,15,Matches
217,218,Faouzi Ghoulam,dz ALG,DF,Napoli,30,1991,3.7,299,14,72,139,91,2,299,1,2,50.0,2,2,215,8,Matches
218,219,Sebastian Giovinco,it ITA,MF,Sampdoria,34,1987,0.4,16,0,0,6,11,1,16,0,0,,2,0,8,2,Matches
219,220,Olivier Giroud,fr FRA,FW,Milan,34,1986,21.0,696,26,48,278,374,120,694,4,8,50.0,58,11,534,114,Matches
220,221,Diego Godín,uy URU,DF,Cagliari,35,1986,9.1,545,87,313,207,28,14,545,10,11,90.9,4,0,331,1,Matches
221,222,Edoardo Goldaniga,it ITA,DF,Cagliari,27,1993,10.4,578,49,255,263,64,8,578,3,6,50.0,7,0,277,2,Matches
222,223,Edoardo Goldaniga,it ITA,"DF,MF",Sassuolo,27,1993,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches
223,224,Cedric Gondo,ci CIV,FW,Salernitana,24,1996,7.8,281,6,32,103,151,41,281,11,20,55.0,39,19,218,69,Matches
224,225,Nicolás González,ar ARG,FW,Fiorentina,23,1998,26.2,1302,7,113,569,647,135,1299,57,115,49.6,97,39,1036,152,Matches
225,226,Robin Gosens,de GER,DF,Atalanta,27,1994,5.1,309,9,62,142,105,22,309,0,3,0.0,6,1,195,13,Matches
226,227,Robin Gosens,de GER,DF,Inter,27,1994,1.9,126,8,30,55,43,9,126,0,1,0.0,3,0,80,8,Matches
227,228,Alberto Grassi,it ITA,MF,Cagliari,26,1995,24.2,1325,76,355,803,180,21,1325,18,27,66.7,27,16,750,22,Matches
228,229,Koray Günter,de GER,DF,Hellas Verona,26,1994,26.8,1572,236,821,725,37,14,1572,3,5,60.0,15,2,722,3,Matches
229,230,Albert Guðmundsson,is ISL,"FW,MF",Genoa,24,1997,6.7,304,11,36,120,153,27,304,7,14,50.0,27,10,185,35,Matches
230,231,Emmanuel Gyasi,gh GHA,"FW,MF",Spezia,27,1994,33.7,1272,66,295,523,473,86,1272,33,55,60.0,81,52,857,106,Matches
231,232,Norbert Gyömbér,sk SVK,DF,Salernitana,29,1992,28.5,1359,207,703,572,91,18,1359,2,3,66.7,13,6,674,2,Matches
232,233,Nicolas Haas,ch SUI,MF,Empoli,25,1996,11.1,588,27,125,289,178,17,588,2,9,22.2,18,8,371,34,Matches
233,234,Samir Handanović,si SVN,GK,Inter,37,1984,37.0,1332,1194,1331,0,1,1,1332,0,0,,1,0,814,0,Matches
234,235,Ridgeciano Haps,sr SUR,DF,Venezia,28,1993,22.8,1104,90,449,439,227,15,1104,16,22,72.7,34,4,530,40,Matches
235,236,Abdou Harroui,nl NED,MF,Sassuolo,23,1998,5.0,364,8,64,208,99,14,364,3,6,50.0,12,5,251,13,Matches
236,237,Hans Hateboer,nl NED,"DF,MF",Atalanta,27,1994,15.4,966,33,174,392,404,39,966,5,10,50.0,21,9,675,58,Matches
237,238,Silvan Hefti,ch SUI,DF,Genoa,23,1997,14.3,724,42,225,305,208,15,724,13,27,48.1,18,14,271,24,Matches
238,239,Liam Henderson,sct SCO,MF,Empoli,25,1996,22.4,1008,33,128,415,477,60,1008,5,13,38.5,27,14,673,101,Matches
239,240,Dalbert Henrique,br BRA,"DF,MF",Cagliari,27,1993,23.1,1094,49,249,501,357,21,1094,10,29,34.5,38,19,516,57,Matches
240,241,Matheus Henrique,br BRA,MF,Sassuolo,23,1997,12.0,696,27,134,411,157,8,696,20,31,64.5,11,18,552,19,Matches
241,242,Thomas Henry,fr FRA,FW,Venezia,26,1994,23.5,709,34,59,349,307,97,709,12,38,31.6,91,35,596,91,Matches
242,243,Theo Hernández,fr FRA,DF,Milan,23,1997,30.1,2027,66,511,969,591,54,2025,49,85,57.6,55,24,1257,87,Matches
243,244,Hernani,br BRA,"MF,FW",Genoa,27,1994,7.6,339,15,67,189,87,12,339,5,11,45.5,16,11,198,15,Matches
244,245,Daan Heymans,be BEL,"MF,FW",Venezia,22,1999,2.8,127,8,29,64,35,5,127,2,3,66.7,7,0,84,11,Matches
245,246,Aaron Hickey,sct SCO,DF,Bologna,19,2002,31.3,1573,81,476,661,448,24,1573,30,49,61.2,48,27,951,67,Matches
246,247,Martin Hongla,cm CMR,MF,Hellas Verona,23,1998,7.2,379,21,81,226,76,5,379,1,5,20.0,12,8,222,8,Matches
247,248,Sydney van Hooijdonk,nl NED,"FW,MF",Bologna,21,2000,0.4,23,0,0,11,13,1,23,1,1,100.0,2,1,18,3,Matches
248,249,Petko Hristov,bg BUL,DF,Spezia,22,1999,13.9,760,113,448,299,14,4,760,2,2,100.0,3,2,421,2,Matches
249,250,Elseid Hysaj,al ALB,DF,Lazio,27,1994,22.5,1578,59,471,851,280,16,1578,16,33,48.5,14,9,1085,37,Matches
250,251,Roger Ibanez,br BRA,DF,Roma,22,1998,32.1,2270,194,1101,1084,110,37,2270,10,16,62.5,33,12,1502,11,Matches
251,252,Zlatan Ibrahimović,se SWE,FW,Milan,39,1981,11.3,534,12,16,209,313,89,533,5,9,55.6,22,9,437,92,Matches
252,253,Igor,br BRA,DF,Fiorentina,23,1998,24.9,1903,133,948,931,40,16,1903,12,12,100.0,18,3,1351,0,Matches
253,254,Jonathan Ikone,fr FRA,FW,Fiorentina,23,1998,7.2,368,6,32,159,180,27,368,13,23,56.5,27,10,271,40,Matches
254,255,Ivan Ilić,rs SRB,MF,Hellas Verona,20,2001,28.1,1672,85,356,990,343,27,1672,26,43,60.5,48,22,1050,52,Matches
255,256,Josip Iličić,si SVN,"MF,FW",Atalanta,33,1988,9.3,609,4,39,240,338,53,608,27,40,67.5,39,10,511,72,Matches
256,257,Ciro Immobile,it ITA,FW,Lazio,31,1990,30.1,1176,20,91,486,609,185,1167,19,40,47.5,77,44,984,209,Matches
257,258,Lorenzo Insigne,it ITA,FW,Napoli,30,1991,25.4,1777,13,178,791,834,117,1765,41,80,51.3,52,28,1378,146,Matches
258,259,Ardian Ismajli,al ALB,DF,Empoli,24,1996,14.1,894,148,485,388,27,9,894,1,3,33.3,5,0,530,2,Matches
259,260,Armando Izzo,it ITA,DF,Torino,29,1992,5.8,372,35,154,175,44,8,372,0,0,,3,2,217,6,Matches
260,261,Mato Jajalo,ba BIH,MF,Udinese,33,1988,7.0,395,20,105,224,69,4,395,3,4,75.0,10,5,224,5,Matches
261,262,Paweł Jaroszyński,pl POL,DF,Salernitana,26,1994,5.7,281,29,121,105,59,2,281,1,4,25.0,2,1,123,5,Matches
262,263,Juan Jesus,br BRA,DF,Napoli,30,1991,14.2,952,104,444,496,17,10,952,1,2,50.0,3,0,644,0,Matches
263,264,Dennis Johnsen,no NOR,"FW,MF",Venezia,23,1998,16.1,497,8,76,174,261,56,497,20,66,30.3,61,23,359,106,Matches
264,265,Kaio Jorge,br BRA,"MF,FW",Juventus,19,2002,1.3,57,2,9,23,26,7,57,1,1,100.0,4,2,47,13,Matches
265,266,Flavio Junior Bianchi,it ITA,"FW,MF",Genoa,21,2000,3.5,112,0,10,70,34,9,112,3,3,100.0,15,6,79,18,Matches
266,267,Hamed Junior Traorè,ci CIV,"FW,MF",Sassuolo,21,2000,19.7,1084,10,170,487,445,84,1084,61,104,58.7,45,43,773,97,Matches
267,268,Nikola Kalinić,hr CRO,FW,Hellas Verona,33,1988,4.5,159,1,6,60,93,34,159,2,4,50.0,19,21,140,51,Matches
268,269,Yayah Kallon,sl SLE,"FW,MF",Genoa,20,2001,7.1,267,3,32,92,148,33,267,18,28,64.3,27,11,171,39,Matches
269,270,Pierre Kalulu,fr FRA,DF,Milan,21,2000,21.6,1384,97,592,644,168,13,1384,6,11,54.5,22,6,858,17,Matches
270,271,Dimitrije Kamenović,rs SRB,DF,Lazio,21,2000,0.5,25,3,13,11,1,1,25,0,0,,0,1,10,0,Matches
271,272,Rick Karsdorp,nl NED,"DF,FW",Roma,26,1995,32.0,1976,58,534,915,555,40,1976,13,23,56.5,31,8,1297,85,Matches
272,273,Denso Kasius,nl NED,"DF,FW",Bologna,18,2002,2.0,157,4,40,71,46,2,157,3,8,37.5,6,0,96,6,Matches
273,274,Grigoris Kastanos,cy CYP,"MF,FW",Salernitana,23,1998,15.0,759,27,136,359,281,27,759,22,46,47.8,27,14,467,42,Matches
274,275,Moise Kean,it ITA,FW,Juventus,21,2000,12.2,378,10,49,158,177,57,378,18,44,40.9,43,21,281,66,Matches
275,276,Wajdi Kechrida,tn TUN,"DF,MF",Salernitana,25,1995,10.6,410,23,103,181,129,15,410,2,5,40.0,10,10,232,14,Matches
276,277,Dimitrios Keramitsis,gr GRE,MF,Roma,17,2004,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches
277,278,Franck Kessié,ci CIV,MF,Milan,24,1996,25.6,1595,52,336,919,355,57,1592,33,45,73.3,38,27,1094,45,Matches
278,279,Jakub Kiwior,pl POL,MF,Spezia,21,2000,21.8,936,95,362,496,90,16,936,9,14,64.3,14,9,465,6,Matches
279,280,Sofian Kiyine,ma MAR,"MF,FW",Venezia,23,1997,13.8,698,21,146,355,214,17,698,55,80,68.8,38,32,442,27,Matches
280,281,Simon Kjær,dk DEN,DF,Milan,32,1989,8.9,558,86,256,291,14,6,558,0,0,,2,1,368,0,Matches
281,282,Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,30,1991,0.6,33,0,2,18,13,1,33,0,0,,5,0,25,7,Matches
282,283,Aleksandar Kolarov,rs SRB,DF,Inter,35,1985,0.5,44,5,15,23,6,0,44,1,2,50.0,0,0,37,0,Matches
283,284,Teun Koopmeiners,nl NED,MF,Atalanta,23,1998,23.6,1707,35,334,852,544,39,1707,21,36,58.3,43,19,1173,64,Matches
284,285,Kalidou Koulibaly,sn SEN,DF,Napoli,30,1991,26.7,1900,246,892,977,56,22,1900,20,22,90.9,15,3,1303,9,Matches
285,286,Christos Kourfalidis,gr GRE,"MF,FW",Cagliari,18,2002,0.2,17,1,1,9,7,1,17,0,0,,1,0,6,2,Matches
286,287,Viktor Kovalenko,ua UKR,MF,Spezia,25,1996,14.7,720,14,137,409,179,14,720,4,14,28.6,28,17,483,31,Matches
287,288,Julian Kristoffersen,no NOR,FW,Salernitana,24,1997,0.1,3,0,0,1,2,1,3,0,0,,0,0,2,0,Matches
288,289,Rade Krunić,ba BIH,"MF,FW",Milan,27,1993,15.7,709,31,125,368,227,25,709,12,15,80.0,27,7,460,54,Matches
289,290,Dejan Kulusevski,se SWE,"FW,MF",Juventus,21,2000,8.6,372,7,52,148,181,46,372,18,32,56.3,41,23,261,69,Matches
290,291,Marash Kumbulla,al ALB,DF,Roma,21,2000,11.4,733,48,347,366,24,8,733,1,1,100.0,6,2,503,0,Matches
291,292,Giorgos Kyriakopoulos,gr GRE,"DF,FW",Sassuolo,25,1996,21.9,1498,84,514,583,420,26,1498,35,54,64.8,23,19,1014,43,Matches
292,293,Andrea La Mantia,it ITA,"FW,MF",Empoli,30,1991,5.4,158,6,14,64,80,31,158,0,0,,12,7,112,27,Matches
293,294,Sam Lammers,nl NED,"FW,MF",Atalanta,24,1997,0.4,31,0,0,14,17,3,31,0,2,0.0,6,0,27,6,Matches
294,295,Kevin Lasagna,it ITA,"MF,FW",Hellas Verona,28,1992,13.2,438,11,42,180,230,63,438,10,19,52.6,55,27,311,95,Matches
295,296,Darko Lazović,rs SRB,DF,Hellas Verona,30,1990,30.7,1780,72,370,753,677,114,1780,26,55,47.3,34,8,1070,109,Matches
296,297,Manuel Lazzari,it ITA,DF,Lazio,27,1993,18.5,1155,35,280,567,331,38,1155,29,58,50.0,24,6,772,55,Matches
297,298,Patrick Leal,us USA,FW,Venezia,18,2003,0.0,1,0,1,0,0,0,1,0,0,,0,0,0,0,Matches
298,299,Rafael Leão,pt POR,FW,Milan,22,1999,28.9,1157,12,59,430,699,176,1157,98,163,60.1,71,50,903,159,Matches
299,300,Lucas Leiva,br BRA,MF,Lazio,34,1987,18.9,1404,70,356,949,108,0,1404,3,4,75.0,4,8,969,6,Matches
300,301,Luca Lezzerini,it ITA,GK,Venezia,26,1995,5.5,217,195,216,1,0,0,217,0,0,,0,0,80,0,Matches
301,302,Ben Lhassine Kone,ci CIV,MF,Torino,21,2000,0.9,41,2,10,28,3,0,41,0,0,,1,0,23,0,Matches
302,303,Matthijs de Ligt,nl NED,DF,Juventus,21,1999,29.7,1967,264,936,947,92,36,1967,4,6,66.7,12,3,1356,6,Matches
303,304,Anderson Lima,br BRA,MF,Lazio,21,1999,0.7,47,3,15,26,7,1,47,1,1,100.0,3,2,38,3,Matches
304,305,Karol Linetty,pl POL,"MF,FW",Torino,26,1995,10.0,386,3,43,178,168,26,386,5,9,55.6,28,7,239,30,Matches
305,306,Stanislav Lobotka,sk SVK,MF,Napoli,26,1994,18.7,1537,48,275,1093,185,3,1537,13,16,81.3,13,12,1241,15,Matches
306,307,Manuel Locatelli,it ITA,MF,Juventus,23,1998,24.0,1673,86,445,975,266,27,1673,19,28,67.9,26,16,1181,30,Matches
307,308,Maxime Lopez,fr FRA,MF,Sassuolo,23,1997,32.6,2902,128,752,1782,394,26,2902,30,46,65.2,37,28,2231,41,Matches
308,309,Matteo Lovato,it ITA,DF,Atalanta,21,2000,3.4,229,17,80,127,23,3,229,0,1,0.0,6,2,156,2,Matches
309,310,Matteo Lovato,it ITA,DF,Cagliari,21,2000,13.8,734,110,422,306,15,6,734,3,4,75.0,7,5,332,2,Matches
310,311,Hirving Lozano,mx MEX,FW,Napoli,26,1995,17.9,803,12,105,308,404,83,803,29,44,65.9,52,32,613,105,Matches
311,312,José Luis Palomino,ar ARG,DF,Atalanta,31,1990,29.7,2011,173,882,1053,102,35,2011,6,8,75.0,15,7,1067,9,Matches
312,313,Saša Lukić,rs SRB,MF,Torino,24,1996,33.1,2032,59,339,1250,465,36,2029,28,38,73.7,43,8,1345,55,Matches
313,314,Sebastiano Luperto,it ITA,DF,Empoli,24,1996,21.8,1255,275,719,502,38,12,1255,1,2,50.0,8,2,696,2,Matches
314,315,Charalambos Lykogiannis,gr GRE,"DF,FW",Cagliari,27,1993,20.2,976,87,355,382,260,18,976,8,20,40.0,34,9,486,25,Matches
315,316,Niki Mäenpää,fi FIN,GK,Venezia,36,1985,16.5,569,494,566,3,0,0,569,0,0,,0,2,211,0,Matches
316,317,Giulio Maggiore,it ITA,MF,Spezia,23,1998,31.3,1484,54,359,803,342,45,1484,16,43,37.2,72,28,967,58,Matches
317,318,Francesco Magnanelli,it ITA,MF,Sassuolo,36,1984,3.0,274,18,66,186,24,0,274,0,0,,1,1,183,3,Matches
318,319,Giangiacomo Magnani,it ITA,DF,Hellas Verona,25,1995,5.9,316,48,146,160,12,5,316,0,0,,4,0,155,1,Matches
319,320,Giangiacomo Magnani,it ITA,DF,Sampdoria,25,1995,2.7,184,30,126,59,0,0,184,0,0,,1,0,132,0,Matches
320,321,Mike Maignan,fr FRA,GK,Milan,26,1995,32.0,1214,874,1202,13,0,0,1214,0,0,,2,1,658,0,Matches
321,322,Ainsley Maitland-Niles,eng ENG,DF,Roma,23,1997,5.4,370,9,99,155,117,7,370,6,10,60.0,6,3,214,17,Matches
322,323,Jean-Victor Makengo,fr FRA,MF,Udinese,23,1998,26.1,1071,29,207,598,293,37,1071,39,53,73.6,41,19,700,37,Matches
323,324,Nikola Maksimović,rs SRB,DF,Genoa,29,1991,12.4,631,120,369,248,21,9,631,1,3,33.3,4,3,317,0,Matches
324,325,Kévin Malcuit,ma MAR,"DF,MF",Napoli,30,1991,3.2,189,10,70,71,48,4,189,3,6,50.0,5,2,114,10,Matches
325,326,Daniel Maldini,it ITA,MF,Milan,19,2001,1.6,75,0,10,35,31,9,75,2,3,66.7,8,1,48,10,Matches
326,327,Youssef Maleh,it ITA,MF,Fiorentina,22,1998,11.3,539,1,75,263,205,40,539,4,8,50.0,27,8,389,58,Matches
327,328,Ruslan Malinovskyi,ua UKR,"MF,FW",Atalanta,28,1993,17.7,1148,3,81,509,584,48,1148,47,65,72.3,70,48,878,112,Matches
328,329,Rey Manaj,al ALB,FW,Spezia,24,1997,19.6,719,14,52,383,293,65,716,22,49,44.9,73,59,531,92,Matches
329,330,Gianluca Mancini,it ITA,DF,Roma,25,1996,32.0,2064,229,951,1000,120,38,2064,4,5,80.0,13,3,1523,7,Matches
330,331,Leonardo Mancuso,it ITA,FW,Empoli,29,1992,4.7,112,2,9,39,65,13,112,0,0,,11,4,73,22,Matches
331,332,Rolando Mandragora,it ITA,MF,Torino,24,1997,14.7,890,26,126,539,234,16,890,3,6,50.0,15,9,537,19,Matches
332,333,Kostas Manolas,gr GRE,DF,Napoli,30,1991,3.5,252,34,87,163,2,0,252,0,0,,0,0,198,0,Matches
333,334,Riccardo Marchizza,it ITA,DF,Empoli,23,1998,15.0,782,44,206,353,231,18,782,12,23,52.2,16,8,413,25,Matches
334,335,Gian Marco Ferrari,it ITA,DF,Sassuolo,29,1992,34.7,2552,367,1342,1139,86,32,2552,8,12,66.7,23,5,1736,6,Matches
335,336,Davide Marfella,it ITA,GK,Napoli,21,1999,0.1,2,2,2,0,0,0,2,0,0,,0,0,1,0,Matches
336,337,Pablo Marí,es ESP,DF,Udinese,27,1993,14.9,777,145,436,273,72,16,777,2,4,50.0,12,1,349,4,Matches
337,338,Răzvan Marin,ro ROU,MF,Cagliari,25,1996,31.3,1551,34,245,826,504,25,1551,22,43,51.2,53,32,961,56,Matches
338,339,Lautaro Martínez,ar ARG,FW,Inter,23,1997,25.4,834,6,55,306,479,178,829,21,54,38.9,63,24,596,149,Matches
339,340,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,25,1996,15.9,1285,126,628,615,60,21,1285,11,16,68.8,12,7,893,2,Matches
340,341,Adam Marušić,me MNE,DF,Lazio,28,1992,30.2,2109,116,737,1062,327,15,2109,14,25,56.0,19,16,1384,28,Matches
341,342,Andrea Masiello,it ITA,DF,Genoa,35,1986,5.7,365,57,206,151,12,3,365,0,0,,4,3,226,0,Matches
342,343,Aleš Matějů,cz CZE,DF,Venezia,25,1996,8.1,362,37,123,142,98,8,362,5,5,100.0,6,4,188,19,Matches
343,344,Borja Mayoral,es ESP,"FW,DF",Roma,24,1997,1.1,47,0,2,21,25,4,47,1,4,25.0,2,0,40,7,Matches
344,345,Pasquale Mazzocchi,it ITA,DF,Venezia,26,1995,13.8,746,48,284,288,187,5,746,17,37,45.9,34,13,402,20,Matches
345,346,Pasquale Mazzocchi,it ITA,DF,Salernitana,26,1995,14.1,714,41,217,288,222,10,714,18,37,48.6,31,12,389,18,Matches
346,347,Ibrahima Mbaye,sn SEN,DF,Bologna,26,1994,1.2,63,11,23,28,12,0,63,2,2,100.0,0,1,35,2,Matches
347,348,Weston McKennie,us USA,MF,Juventus,22,1998,15.2,725,28,148,351,239,50,725,20,26,76.9,22,19,467,62,Matches
348,349,Gary Medel,cl CHI,DF,Bologna,33,1987,31.4,1943,379,1112,817,29,2,1943,10,13,76.9,8,2,1195,3,Matches
349,350,Filippo Melegoni,it ITA,"MF,FW",Genoa,22,1999,10.9,491,12,77,195,225,26,491,8,16,50.0,40,12,295,49,Matches
350,351,Arthur Melo,br BRA,MF,Juventus,24,1996,10.7,780,28,200,484,106,7,780,10,11,90.9,8,3,566,14,Matches
351,352,Alex Meret,it ITA,GK,Napoli,24,1997,6.9,207,184,206,1,0,0,207,0,0,,0,0,98,0,Matches
352,353,Yıldırım Mert Çetin,tr TUR,MF,Hellas Verona,24,1997,0.5,43,3,12,17,14,0,43,1,2,50.0,1,1,21,0,Matches
353,354,Dries Mertens,be BEL,"FW,MF",Napoli,34,1987,15.4,676,4,49,298,333,88,675,17,29,58.6,23,9,541,95,Matches
354,355,Junior Messias,br BRA,"FW,MF",Milan,30,1991,15.9,776,24,94,288,418,68,776,30,63,47.6,46,17,492,74,Matches
355,356,Kingsley Michael,ng NGA,MF,Bologna,21,1999,0.8,39,4,16,20,3,0,39,0,0,,1,0,21,0,Matches
356,357,Valentin Mihaila,ro ROU,"MF,FW",Atalanta,21,2000,0.8,49,0,7,14,28,6,49,2,3,66.7,7,1,31,4,Matches
357,358,Mikael,br BRA,"FW,MF",Salernitana,22,1999,1.0,37,1,1,15,21,2,37,0,2,0.0,5,1,29,2,Matches
358,359,Hilmir Mikaelsson,is ISL,FW,Venezia,17,2004,0.2,5,0,0,2,3,0,5,0,0,,0,0,2,1,Matches
359,360,Nikola Milenković,rs SRB,DF,Fiorentina,23,1997,32.5,2371,228,1173,1136,85,27,2371,2,2,100.0,11,4,1632,8,Matches
360,361,Sergej Milinković-Savić,rs SRB,MF,Lazio,26,1995,34.4,2825,83,447,1598,813,117,2825,45,77,58.4,99,48,2293,161,Matches
361,362,Vanja Milinković-Savić,rs SRB,GK,Torino,24,1997,27.0,1066,705,1052,14,1,1,1066,2,2,100.0,1,0,527,0,Matches
362,363,Aleksei Miranchuk,ru RUS,"MF,FW",Atalanta,25,1995,8.6,479,8,37,194,253,40,479,16,28,57.1,25,17,393,51,Matches
363,364,Fabio Miretti,it ITA,MF,Juventus,17,2003,3.6,174,3,47,94,35,5,174,1,2,50.0,6,0,117,14,Matches
364,365,Henrikh Mkhitaryan,am ARM,"MF,FW",Roma,32,1989,27.7,1495,37,209,788,524,66,1495,34,56,60.7,58,27,999,127,Matches
365,366,Marco Modolo,it ITA,DF,Venezia,32,1989,4.4,206,78,148,55,3,2,206,0,1,0.0,1,0,117,0,Matches
366,367,Nahuel Molina,ar ARG,DF,Udinese,23,1998,29.3,1489,53,366,596,546,50,1489,20,42,47.6,36,10,928,91,Matches
367,368,Cristian Molinaro,it ITA,DF,Venezia,38,1983,6.1,379,27,148,157,76,1,379,5,7,71.4,6,3,220,7,Matches
368,369,Lorenzo Montipò,it ITA,GK,Hellas Verona,25,1996,34.0,1062,882,1058,4,0,0,1062,1,1,100.0,0,0,433,0,Matches
369,370,Álvaro Morata,es ESP,FW,Juventus,28,1992,25.6,945,27,103,403,453,126,944,23,47,48.9,78,43,762,151,Matches
370,371,Raúl Moro,es ESP,FW,Lazio,18,2002,2.2,109,0,6,56,48,10,109,3,10,30.0,5,2,83,11,Matches
371,372,Andrei Motoc,ro ROU,DF,Salernitana,19,2002,1.0,36,5,23,12,1,0,36,1,1,100.0,1,0,19,0,Matches
372,373,Lys Mousset,fr FRA,"MF,FW",Salernitana,25,1996,1.8,60,0,2,30,29,6,60,3,7,42.9,8,2,44,8,Matches
373,374,Samuel Mráz,sk SVK,FW,Spezia,24,1997,0.6,15,0,1,10,4,0,15,0,0,,0,0,8,2,Matches
374,375,Mert Müldür,tr TUR,DF,Sassuolo,22,1999,22.7,1409,77,421,717,282,19,1409,20,28,71.4,28,10,890,43,Matches
375,376,Luis Muriel,co COL,"FW,MF",Atalanta,30,1991,17.1,1000,6,41,354,619,117,998,62,104,59.6,63,47,764,173,Matches
376,377,Vedat Muriqi,xk KVX,FW,Lazio,27,1994,2.4,94,1,13,39,43,9,94,3,5,60.0,10,3,83,25,Matches
377,378,Nicola Murru,it ITA,DF,Sampdoria,26,1994,10.9,566,38,204,255,114,12,566,4,9,44.4,15,10,308,15,Matches
378,379,Juan Musso,ar ARG,GK,Atalanta,27,1994,32.6,1021,833,1012,10,0,0,1021,1,1,100.0,0,0,450,0,Matches
379,380,Joakim Mæhle,dk DEN,"DF,MF",Atalanta,24,1997,16.3,1094,25,235,469,405,34,1094,12,41,29.3,16,19,685,55,Matches
380,381,Nahitan Nández,uy URU,"MF,DF",Cagliari,25,1995,16.9,821,17,130,375,332,45,821,27,45,60.0,37,26,585,55,Matches
381,382,Nani,pt POR,"MF,FW",Venezia,34,1986,3.2,166,0,18,72,78,6,166,5,12,41.7,9,6,117,16,Matches
382,383,Matija Nastasić,rs SRB,DF,Fiorentina,28,1993,2.4,175,24,93,79,4,1,175,0,0,,1,0,127,0,Matches
383,384,Ilija Nestorovski,mk MKD,FW,Udinese,31,1990,2.1,85,4,9,49,27,8,85,0,1,0.0,5,0,69,20,Matches
384,385,Aurélien Nguiamba,fr FRA,MF,Spezia,22,1999,0.6,40,2,10,25,5,0,40,1,1,100.0,0,0,21,1,Matches
